FIPSST,State FIPS Code
STRATUM,Sampling Stratum
HHID,Unique Household ID
FORMTYPE,Form Type
TOTKIDS_R,Number of Children in Household
TENURE,The Conditions under Which Land or Buildings Are Held or Occupied
HHLANGUAGE,Primary Household Language
SC_AGE_YEARS,Age of Selected Child - In Years
SC_SEX,Sex of Selected Child
K2Q35A_1_YEARS,Autism ASD - First Told Age in Years
BIRTH_MO,Birth Month
BIRTH_YR,Birth Year
MOMAGE,Age of Mother - Years
K6Q41R_STILL,Stopped Breastfeeding - Still Breastfeeding
K6Q42R_NEVER,First Fed Formula - Never
K6Q43R_NEVER,First Fed Other - Never
K6Q13A,Questionnaire Covers Talks or Speech Sounds Concerns
K6Q13B,Questionnaire Covers Interaction Concerns
K6Q14A,Questionnaire Covers Words and Phrases Concerns
K6Q14B,Questionnaire Covers Behaves and Gets Along Concerns
K4Q30_R_1,Dental Provider Visit - Dentist
K4Q30_R_2,Dental Provider Visit - Other
K4Q30_R_3,Dental Provider Visit - No
DENTALSERV1,Dental Service - Check-up
DENTALSERV2,Dental Service - Cleaning
DENTALSERV3,Dental Service - Instructions on Toothbrushing
DENTALSERV4,Dental Service - X-Rays
DENTALSERV5,Dental Service - Fluoride Treatment
DENTALSERV6,Dental Service - Sealant
DENTALSERV7,Dental Service - Don't Know
K4Q28X01,Needed Health Care Not Received - Medical Care
K4Q28X02,Needed Health Care Not Received - Dental Care
K4Q28X03,Needed Health Care Not Received - Vision Care
K4Q28X_EAR,Needed Health Care Not Received - Hearing Care
K4Q28X04,Needed Health Care Not Received - Mental Health Services
K4Q28X05,Needed Health Care Not Received - Other
SESPLANYR,Special Education Plan - Age in Years
SESPLANMO,Special Education Plan - Age in Months (use with SESPLANYR)
K4Q37,Received Special Services - Age in Years
SPCSERVMO,Received Special Services - Age in Months (use with K4Q37)
LIVEUSA_YR,How Long Living in the United States - Years
LIVEUSA_MO,How Long Living in the United States - Months
K11Q43R,How Many Times Moved to New Address
A1_AGE,Adult 1 - Age in Years
A1_LIVEUSA,Adult 1 - Come to Live in the United States (Year)
A2_AGE,Adult 2 - Age in Years
A2_LIVEUSA,Adult 2 - Come to Live in the United States (Year)
HHCOUNT,Number of People Living at Address
FAMCOUNT,Number of People That Are Family Members
BREATHING,Difficulty Breathing Past 12 Months
SWALLOWING,Difficulty Swallowing Past 12 Months
