County,Surveys,Percentage,% +/-
Lewis,436,34.90%,4.50%
Lincoln,76,39.50%,11.20%
Mason,376,34.30%,4.80%
Pacific,172,32.60%,7.10%
Pierce,3165,33.30%,2.40%
San Juan,79,35.40%,10.80%
Skagit,916,32.20%,3.00%
Skamania,40,40.00%,15.90%
Snohomish,4015,33.10%,3.00%
Spokane,2532,34.50%,1.90%
Thurston,2050,35.50%,2.10%
Walla Walla,428,35.00%,4.50%
Whatcom,1230,32.70%,2.60%
Whitman,201,32.80%,6.50%
Yakima,2257,28.80%,1.90%
Adams,305,33.40%,5.30%
Asotin,209,40.70%,6.70%
Benton,1852,29.80%,2.10%
Chelan,516,25.40%,3.80%
Clallam,273,36.30%,5.70%
Clark,3189,33.40%,1.60%
Cowlitz,781,34.70%,3.30%
Douglas,399,27.30%,4.40%
Garfield,22,31.80%,21.10%
Grant,929,27.60%,2.90%
Grays Harbor,443,31.80%,4.40%
Island,426,35.40%,4.60%
Jefferson,111,38.70%,9.20%
King,2863,26.20%,2.70%
Kitsap,1446,38.10%,2.50%
Kittitas,204,33.30%,6.50%
Klickitat,180,33.30%,7.00%
