County,Surveys,Percentage,% +/-
Adams,253,36.4%,6.0%
Asotin,156,42.3%,7.8%
Benton,2064,40.4%,2.1%
Chelan,717,41.7%,3.6%
Clallam,447,40.9%,4.6%
Clark,4318,38.0%,1.4%
Columbia,22,54.5%,22.6%
Cowlitz,936,39.2%,3.1%
Douglas,419,34.6%,4.6%
Ferry,29,37.9%,18.8%
Garfield,20,40.0%,23.5%
Grant,902,37.9%,3.2%
Grays Harbor,453,41.7%,4.6%
Island,428,40.9%,4.7%
Jefferson,137,51.1%,8.5%
King,4186,36.0%,2.6%
Kitsap,1954,41.5%,2.2%
Kittitas,176,36.4%,7.2%
Klickitat,148,39.9%,8.0%
Lewis,554,41.2%,4.1%
Lincoln,110,30.9%,8.8%
Mason,449,46.1%,4.6%
Okanogan,306,41.5%,5.6%
Pacific,152,43.4%,8.0%
Pend Oreille,117,47.0%,9.2%
Pierce,3604,43.7%,2.2%
San Juan,82,35.4%,10.6%
Skagit,974,38.3%,3.1%
Skamania,66,36.4%,11.9%
Snohomish,3499,38.2%,2.2%
Spokane,3162,41.6%,1.7%
Stevens,187,40.1%,7.1%
Thurston,2436,40.0%,1.9%
Wahkiakum,36,30.6%,15.8%
Whatcom,1509,37.5%,2.4%
Whitman,247,37.7%,6.1%
Yakima,2735,40.7%,1.8%
